Serial Rig,Rig Name
b827eb97828d,DCO_K2C_AB_ABM_10_cards_003
b827ebcc7635,DCO_K2C_AB_ABM_10_cards_005
b827ebf6085f,DCO_K2C_AB_ABM_10_cards_002
b827eb867d41,DCO_K2-QB_AB_X_104
b827eba53b99,DCO_K2-QB_AB_X_031
b827eb772b66,DCO_K2-QB_AB_X_040
b827eb975c0b,DCO_K2-QB_AB_X_132
b827eb3ea8d5,DCO_K2-QB_AB_X_008
b827eb8b8f46,DCO_K2-QB_AB_X_228
b827eb56aadc,DCO_K2-QB_AB_X_105
b827eb20edbb,DCO_K2-QB_AB_X_218
b827eb2cc6da,DCO_K2-QB_AB_X_062
b827eb3523e7,DCO_K2-QB_AB_ABM_10_cards_004
b827eb2b4ac7,DCO_K2-QB_AB_X_214
b827eb7d6456,DCO_K2-QB_AB_X_177
b827ebce9a05,DCO_K2-QB_AB_X_176
b827eb3e8fb2,DCO_K2-QB_AB_X_019
b827ebe174b5,DCO_K2-QB_AB_X_209
b827eb202cda,DCO_K2-QB_AB_X_231
b827eb2bccf8,DCO_K2-QB_AB_X_215
b827ebc01e60,DCO_K2-QB_AB_X_145
b827eba71079,DCO_K2-QB_AB_X_146
b827ebfb1dc0,DCO_K2-QB_AB_X_203
b827ebadab3b,DCO_K2-QB_AB_X_084
b827eb94d50a,DCO_K2-QB_AB_X_195
b827eb368fae,DCO_K2-QB_AB_X_133
b827ebcb9c66,DCO_K2-QB_AB_X_108
b827ebfb3297,DCO_K2-QB_AB_X_174
b827eba5390d,DCO_K2-QB_AB_X_106
b827eb7dc5e9,DCO_K2-QB_AB_X_223
b827eb5c2a0d,DCO_K2-QB_AB_X_204
b827eb946389,DCO_K2-QB_AB_X_021
b827ebe08d7c,DCO_K2-QB_AB_X_196
b827eb279637,DCO_K2-QB_AB_X_237
b827eb69ff22,DCO_K2-QB_AB_X_198
b827eb00b0d8,DCO_K2-QB_AB_X_010
b827eba657c3,DCO_K2-QB_AB_X_151
b827ebff076b,DCO_K2-QB_AB_X_207
b827eb9b8a7d,DCO_K2-QB_AB_X_103
b827ebcdb089,DCO_K2-QB_AB_X_219
b827eb73de1d,DCO_K2-QB_AB_X_238
b827eb5993eb,DCO_K2-QB_AB_X_248
b827ebde8e91,DCO_K2-QB_AB_X_022
b827ebc33cc2,DCO_K2-QB_AB_X_194
b827eb164d5b,DCO_K2-QB_AB_X_216
b827eb2f2c36,DCO_K2-QB_AB_X_024
b827eb88523f,DCO_K2-QB_AB_X_230
b827eb03f3fe,DCO_K2-QB_AB_X_257
b827eb4239b1,DCO_K2-QB_AB_X_027
b827eb5a2626,DCO_K2-QB_AB_X_131
b827eb53484e,DCO_K2C_AB_ABM_10_cards_007
b827eb60753e,DCO_K2-QB_AB_X_205
b827eb5e54d1,DCO_K2-QB_AB_X_217
b827ebd20817,DCO_K2-QB_AB_X_107
b827eb3153f6,DCO_K2-QB_AB_X_232
b827eb2ef887,DCO_K2-QB_AB_X_111
b827ebb37926,DCO_K2-QB_AB_X_212
b827eb647219,DCO_K2-QB_AB_X_036
b827eb315d17,DCO_K2-QB_AB_X_093
b827eb2cebe9,DCO_K2-QB_AB_X_069
b827eb06c455,DCO_K2-QB_AB_X_206
b827eb80d360,DCO_K2-QB_AB_X_229
b827ebe5af2a,DCO_K2-QB_AB_X_222
b827ebbe7c3a,MAKALU_GEN2_K2V4_XA-118
b827eb6147e1,MAKALU_GEN2_K2V4_XA-117
b827eb70f4c5,MAKALU_GEN2_K2V4_XA-117
b827eb26c42c,MAKALU_GEN2_K2V4_XA-118
b827eb6b8cc7,MAKALU_GEN2_K2V4_019
b827eb66e0a8,MAKALU_GEN2_K2V4_019
b827ebd547e0,MAKALU_GEN2_K2V4_024
b827ebec7fb4,MAKALU_GEN2_K2V4_024
b827eb77bb7a,1?
b827eb8059f5,2?
b827eb9d24af,DCO_K2-QB_AB_X_008
b827ebee256c,DCO_K2T (X)_29
